Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,46.985,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agzd,
WETF,"WisdomTree Investments, Inc.",3.43,$536.54M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/wetf,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,37.6495,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dxjs,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,44.38,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dgrw,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,29.62,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dgrs,
WKEY,WISeKey International Holding AG,8.35,$114.33M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/wkey,
WIX,Wix.com Ltd.,216.06,$11.21B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wix,
WWD,"Woodward, Inc.",76.67,$4.78B,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/wwd,
WDAY,"Workday, Inc.",173.55,$40.78B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/wday,
WKHS,"Workhorse Group, Inc.",3.78,$266.98M,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/wkhs,
WRLD,World Acceptance Corporation,68.03,$510.86M,1991,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/wrld,
WRTC,"Wrap Technologies, Inc.",8.05,$260.27M,n/a,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/wrtc,
WMGI,Wright Medical Group N.V.,29.615,$3.82B,2011,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/wmgi,
WSFS,WSFS Financial Corporation,28.145,$1.43B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/wsfs,
WVFC,WVS Financial Corp.,13,$24.94M,n/a,Finance,Banks,https://old.nasdaq.com/symbol/wvfc,
WW,"WW International, Inc. ",24.77,$1.67B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ww,
WYNN,"Wynn Resorts, Limited",92.305,$9.96B,2002,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/wynn,
XFOR,"X4 Pharmaceuticals, Inc.",8.52,$137.47M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xfor,
XBIT,XBiotech Inc.,13.3,$383.74M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xbit,
XELB,"Xcel Brands, Inc",1.0155,$19.34M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/xelb,
XEL,Xcel Energy Inc.,63.65,$33.43B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/xel,
XNCR,"Xencor, Inc.",28.43,$1.62B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xncr,
XBIO,"Xenetic Biosciences, Inc.",1.045,$6.57M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xbio,
XBIOW,"Xenetic Biosciences, Inc.",0.6301,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xbiow,
XENE,Xenon Pharmaceuticals Inc.,12.01,$420.04M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xene,
XERS,"Xeris Pharmaceuticals, Inc.",4.49,$168.77M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xers,
XLNX,"Xilinx, Inc.",90.7,$22.05B,1990,Technology,Semiconductors,https://old.nasdaq.com/symbol/xlnx,
XOMA,XOMA Corporation,21.21,$233.62M,1986,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xoma,
XP,XP Inc.,41.2,$22.73B,2019,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/xp,
XPEL,"XPEL, Inc.",15.89,$438.76M,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/xpel,
XPER,Xperi Holding Corporation,12.42,$1.43B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/xper,
XSPA,"XpresSpa Group, Inc. ",5.6,$604.9M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/xspa,
XTLB,XTL Biopharmaceuticals Ltd.,1.375,$7.07M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/xtlb,
XNET,Xunlei Limited,3.38,$229.71M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/xnet,
YNDX,Yandex N.V.,42.18,$13.82B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/yndx,
YTRA,"Yatra Online, Inc.",1.08,$49.29M,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/ytra,
YTEN,"Yield10 Bioscience, Inc.",6.38,$12.57M,n/a,Basic Industries,Containers/Packaging,https://old.nasdaq.com/symbol/yten,
YIN,Yintech Investment Holdings Limited,5.58,$407.57M,2016,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/yin,
YMAB,"Y-mAbs Therapeutics, Inc.",42.13,$1.67B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ymab,
YGYI,"Youngevity International, Inc.",1.46,$44.27M,n/a,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/ygyi,
YGYIP,"Youngevity International, Inc.",15.4899,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/ygyip,
YRCW,"YRC Worldwide, Inc.",1.84,$68.35M,n/a,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/yrcw,
CTIB,Yunhong CTI Ltd.,2.85,$12.81M,1997,Basic Industries,Specialty Chemicals,https://old.nasdaq.com/symbol/ctib,
ZGYH,Yunhong International,9.72,$86.94M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/zgyh,
ZGYHR,Yunhong International,0.121,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/zgyhr,
ZGYHU,Yunhong International,9.81,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/zgyhu,
ZGYHW,Yunhong International,0.118,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/zgyhw,
YJ,Yunji Inc.,2.56,$543.53M,2019,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/yj,
ZAGG,ZAGG Inc,3.28,$97.79M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/zagg,
ZLAB,Zai Lab Limited,69,$5.15B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zlab,
ZEAL,Zealand Pharma A/S,37.66,$1.39B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zeal,
ZBRA,Zebra Technologies Corporation,258.33,$13.72B,1991,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/zbra,
ZNTL,"Zentalis Pharmaceuticals, Inc.",41.95,$1.51B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zntl,
ZCMD,ZHONGCHAO INC.,2.24,$52.79M,2020,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/zcmd,
Z,"Zillow Group, Inc.",56.79,$12.55B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/z,
ZG,"Zillow Group, Inc.",56.95,$12.58B,2011,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/zg,
ZN,Zion Oil ,0.319,$55.3M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/zn,
ZNWAA,Zion Oil ,n/a,n/a,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/znwaa,
ZION,Zions Bancorporation N.A.,34.88,$5.72B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/zion,
ZIONL,Zions Bancorporation N.A.,25.73,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/zionl,
ZIONN,Zions Bancorporation N.A.,24.72,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/zionn,
ZIONO,Zions Bancorporation N.A.,26.33,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ziono,
ZIONP,Zions Bancorporation N.A.,20.5926,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/zionp,
ZIOP,ZIOPHARM Oncology Inc,3.105,$665.36M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ziop,
ZIXI,Zix Corporation,6.48,$369.04M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/zixi,
ZKIN,"ZK International Group Co., Ltd",1.65,$27.32M,2017,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/zkin,
ZGNX,"Zogenix, Inc.",28.6,$1.58B,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zgnx,
ZM,"Zoom Video Communications, Inc.",219.52,$61.93B,2019,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/zm,
ZI,ZoomInfo Technologies Inc.,51.22,$19.94B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/zi,
ZSAN,Zosano Pharma Corporation,0.9,$48.93M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zsan,
ZVO,Zovio Inc.,2.5,$80.15M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/zvo,
ZS,"Zscaler, Inc.",102.47,$13.37B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/zs,
ZUMZ,Zumiez Inc.,26.3,$668.83M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/zumz,
ZYNE,"Zynerba Pharmaceuticals, Inc.",4.85,$121.01M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/zyne,
ZYXI,"Zynex, Inc.",22.19,$736.54M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/zyxi,
ZNGA,Zynga Inc.,9.11,$8.71B,2011,Technology,EDP Services,https://old.nasdaq.com/symbol/znga,
