Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
MOMO,Momo Inc.,19.74,$4.12B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/momo,
MKGI,"Monaker Group, Inc.",1.3689,$18.17M,n/a,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/mkgi,
MCRI,"Monarch Casino & Resort, Inc.",36,$654.19M,1993,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/mcri,
MDLZ,"Mondelez International, Inc.",50.73,$72.42B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/mdlz,
MGI,"Moneygram International, Inc.",3.15,$199.83M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/mgi,
MDB,"MongoDB, Inc.",193.67,$11.26B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mdb,
MNCL,Monocle Acquisition Corporation,10.13,$225.7M,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mncl,
MNCLU,Monocle Acquisition Corporation,10.83,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclu,
MNCLW,Monocle Acquisition Corporation,0.31,n/a,2019,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/mnclw,
MPWR,"Monolithic Power Systems, Inc.",214,$9.57B,2004,Technology,Semiconductors,https://old.nasdaq.com/symbol/mpwr,
MNPR,Monopar Therapeutics Inc.,7.98,$84.86M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mnpr,
MNRO,"Monro, Inc. ",56.75,$1.89B,1991,Consumer Services,Automotive Aftermarket,https://old.nasdaq.com/symbol/mnro,
MRCC,Monroe Capital Corporation,7.57,$155.4M,2012,n/a,n/a,https://old.nasdaq.com/symbol/mrcc,
MRCCL,Monroe Capital Corporation,23.08,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mrccl,
MNST,Monster Beverage Corporation,68.3,$35.96B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/mnst,
MORN,"Morningstar, Inc.",144.46,$6.18B,2005,Finance,Investment Managers,https://old.nasdaq.com/symbol/morn,
MORF,"Morphic Holding, Inc.",22.49,$688.26M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/morf,
MOR,MorphoSys AG,29.63,$3.87B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mor,
MOSY,"MoSys, Inc.",1.9,$6.71M,2001,Technology,Semiconductors,https://old.nasdaq.com/symbol/mosy,
MOTA,"Mota Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/mota,
MPAA,"Motorcar Parts of America, Inc.",15.89,$301.35M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/mpaa,
MOTS,"Motus GI Holdings, Inc.",1.15,$33.15M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mots,
MCACU,Mountain Crest Acquisition Corp,10.0225,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/mcacu,
MOXC,"Moxian, Inc.",1.1,$17.81M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/moxc,
COOP,Mr. Cooper Group Inc.,11.72,$1.08B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/coop,
MSBF,MSB Financial Corp.,11.2,$58.07M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/msbf,
MTBC,"MTBC, Inc.",6.73,$83.45M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbc,
MTBCP,"MTBC, Inc.",25.605,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mtbcp,
MTSC,MTS Systems Corporation,18.61,$357.98M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/mtsc,
GRIL,"Muscle Maker, Inc",2.1683,$17.22M,2020,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/gril,
MBIO,"Mustang Bio, Inc.",3.15,$135.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/mbio,
MVBF,MVB Financial Corp.,13.25,$158.33M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/mvbf,
MYSZ,"My Size, Inc.",1.09,$7.79M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/mysz,
MYL,Mylan N.V.,15.94,$8.24B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myl,
MYOK,"MyoKardia, Inc.",94.16,$4.4B,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myok,
MYOS,MYOS RENS Technology Inc.,0.9103,$10.04M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/myos,
MYRG,"MYR Group, Inc.",28.28,$471.87M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/myrg,
MYGN,"Myriad Genetics, Inc.",12.01,$895.4M,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/mygn,
NBRV,Nabriva Therapeutics plc,0.81,$115.8M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nbrv,
NAKD,Naked Brand Group Limited,1.01,$7.24M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/nakd,
NNDM,Nano Dimension Ltd.,2.31,$106.41M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/nndm,
NSTG,"NanoString Technologies, Inc.",30.74,$1.16B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nstg,
NAOV,"NanoVibronix, Inc.",2.4,$10.35M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/naov,
NH,"NantHealth, Inc.",2.85,$315.27M,2016,Technology,EDP Services,https://old.nasdaq.com/symbol/nh,
NK,"NantKwest, Inc.",6.88,$677.74M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nk,
NSSC,"NAPCO Security Technologies, Inc.",23.66,$434.07M,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/nssc,
NDAQ,"Nasdaq, Inc.",115.15,$18.89B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ndaq,
NTRA,"Natera, Inc.",40.93,$3.22B,2015,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ntra,
NATH,"Nathan&#39;s Famous, Inc.",57.99,$244.33M,1993,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/nath,
NKSH,"National Bankshares, Inc.",28.26,$183.4M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nksh,
FIZZ,National Beverage Corp.,57.03,$2.66B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/fizz,
NCMI,"National CineMedia, Inc.",3.1,$247.23M,2007,Consumer Services,Advertising,https://old.nasdaq.com/symbol/ncmi,
NESR,National Energy Services Reunited Corp.,5.93,$518.85M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nesr,
NESRW,National Energy Services Reunited Corp.,0.49,n/a,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nesrw,
NGHC,National General Holdings Corp,20.24,$2.3B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghc,
NGHCN,National General Holdings Corp,23.48,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcn,
NGHCO,National General Holdings Corp,23.61,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghco,
NGHCP,National General Holdings Corp,23.8501,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcp,
NGHCZ,National General Holdings Corp,24.56,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nghcz,
NHLD,National Holdings Corporation,1.93,$26.01M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/nhld,
NHLDW,National Holdings Corporation,0.13,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/nhldw,
NATI,National Instruments Corporation,38.63,$5.04B,1995,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nati,
NRC,National Research Corporation,53.31,$1.34B,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/nrc,
NSEC,"National Security Group, Inc.",16.1,$40.73M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/nsec,
EYE,"National Vision Holdings, Inc.",28.145,$2.26B,2017,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/eye,
NWLI,"National Western Life Group, Inc.",202.2,$735.2M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/nwli,
NAII,"Natural Alternatives International, Inc.",6.5005,$44.13M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/naii,
NHTC,Natural Health Trends Corp.,6.69,$76.42M,n/a,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/nhtc,
NATR,"Nature&#39;s Sunshine Products, Inc.",8.99,$175.06M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/natr,
NTUS,Natus Medical Incorporated,21.98,$742.97M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ntus,
JSM,Navient Corporation,20.56,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jsm,
NAVI,Navient Corporation,7.75,$1.5B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/navi,
NMCI,Navios Maritime Containers L.P.,0.7838,$27.12M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/nmci,
NBTB,NBT Bancorp Inc.,30.3,$1.32B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nbtb,
NCSM,"NCS Multistage Holdings, Inc.",0.6057,$28.57M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ncsm,
NKTR,Nektar Therapeutics,20.49,$3.65B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nktr,
NMRD,Nemaura Medical Inc.,7.75,$161.26M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nmrd,
NEOG,Neogen Corporation,68.6,$3.63B,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/neog,
NEO,"NeoGenomics, Inc.",27.02,$2.97B,n/a,Health Care,Precision Instruments,https://old.nasdaq.com/symbol/neo,
NLTX,"Neoleukin Therapeutics, Inc.",12.8,$492.61M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nltx,
NEON,Neonode Inc.,5.07,$46.5M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/neon,
NEOS,"Neos Therapeutics, Inc.",0.769,$38.26M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/neos,
NVCN,Neovasc Inc.,2.47,$30.4M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nvcn,
NEPH,"Nephros, Inc.",7.98,$72.05M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/neph,
NEPT,Neptune Wellness Solutions Inc.,2.61,$247.83M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nept,
UEPS,"Net 1 UEPS Technologies, Inc.",3.37,$192.49M,2005,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ueps,
NETE,"Net Element, Inc.",4.6,$19.3M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/nete,
NTAP,"NetApp, Inc.",42.46,$9.39B,1995,Technology,Electronic Components,https://old.nasdaq.com/symbol/ntap,
NTES,"NetEase, Inc.",409.48,$53.36B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ntes,
NFIN,Netfin Acquisition Corp.,10.05,$324.68M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfin,
NFINU,Netfin Acquisition Corp.,10.4,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfinu,
NFINW,Netfin Acquisition Corp.,0.4751,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/nfinw,
NFLX,"Netflix, Inc.",418.07,$183.87B,2002,Consumer Services,Consumer Electronics/Video Chains,https://old.nasdaq.com/symbol/nflx,
NTGR,"NETGEAR, Inc.",23.99,$705.76M,2003,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ntgr,
NTCT,"NetScout Systems, Inc.",25.3,$1.83B,1999,Technology,EDP Services,https://old.nasdaq.com/symbol/ntct,
NTWK,NetSol Technologies Inc.,3.145,$37.86M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ntwk,
NBSE,"NeuBase Therapeutics, Inc. ",8.44,$195.12M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nbse,
NRBO,"NeuroBo Pharmaceuticals, Inc.",9.73,$159.84M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nrbo,
NBIX,"Neurocrine Biosciences, Inc.",114.82,$10.66B,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nbix,
NURO,"NeuroMetrix, Inc.",1.81,$6.29M,2004,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nuro,
STIM,"Neuronetics, Inc.",1.89,$35.4M,2018,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/stim,
NTRP,"Neurotrope, Inc.",1.33,$29.51M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ntrp,
NBEV,New Age Beverages Corporation,1.71,$158.33M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/nbev,
NFE,New Fortress Energy LLC,12.9,$2.17B,2019,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/nfe,
NPA,New Providence Acquisition Corp.,9.92,$285.2M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npa,
NPAUU,New Providence Acquisition Corp.,10.15,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npauu,
NPAWW,New Providence Acquisition Corp.,0.55,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/npaww,
NYMT,"New York Mortgage Trust, Inc.",2.69,$1.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymt,
NYMTM,"New York Mortgage Trust, Inc.",17.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtm,
NYMTN,"New York Mortgage Trust, Inc.",17.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtn,
NYMTO,"New York Mortgage Trust, Inc.",18.03,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymto,
NYMTP,"New York Mortgage Trust, Inc.",18.27,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nymtp,
NEWA,"Newater Technology, Inc.",3.14,$33.94M,2017,Basic Industries,Miscellaneous,https://old.nasdaq.com/symbol/newa,
NBAC,Newborn Acquisition Corp.,9.82,$73.26M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbac,
NBACR,Newborn Acquisition Corp.,0.1599,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacr,
NBACU,Newborn Acquisition Corp.,10.04,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacu,
NBACW,Newborn Acquisition Corp.,0.2,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/nbacw,
NWL,Newell Brands Inc.,15.3,$6.49B,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/nwl,
NWGI,"Newgioco Group, Inc.",2.688,$28.82M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nwgi,
NMRK,"Newmark Group, Inc.",4.91,$875.09M,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/nmrk,
NWS,News Corporation,11.75,$6.91B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/nws,
NWSA,News Corporation,11.72,$6.9B,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/nwsa,
NEWT,Newtek Business Services Corp.,18.18,$380.08M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newt,
NEWTI,Newtek Business Services Corp.,24.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newti,
NEWTL,Newtek Business Services Corp.,24.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/newtl,
NXMD,"Nexeon Medsystems, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nxmd,
NXST,"Nexstar Media Group, Inc.",83.3,$3.77B,2003,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/nxst,
NXTC,"NextCure, Inc.",23.74,$653.26M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nxtc,
NEXT,NextDecade Corporation,2.2,$265.37M,2015,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/next,
NXGN,"NextGen Healthcare, Inc.",10.16,$671.63M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/nxgn,
NGM,"NGM Biopharmaceuticals, Inc.",20.7,$1.41B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ngm,
NODK,"NI Holdings, Inc.",15.74,$342.81M,2017,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nodk,
EGOV,NIC Inc.,23.65,$1.58B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/egov,
NICE,NICE Ltd,185.2,$11.56B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nice,
NICK,"Nicholas Financial, Inc.",7.31,$57.02M,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/nick,
NCBS,Nicolet Bankshares Inc.,54.89,$571.56M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ncbs,
NKLA,Nikola Corporation,64,$23.1B,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nkla,
NKLAW,Nikola Corporation,23.02,$682.31M,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/nklaw,
NIU,Niu Technologies,11.63,$869.3M,2018,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/niu,
LASR,"nLIGHT, Inc.",22.56,$868.3M,2018,Technology,Semiconductors,https://old.nasdaq.com/symbol/lasr,
NMIH,NMI Holdings Inc,17,$1.17B,2013,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/nmih,
NNBR,"NN, Inc.",4.59,$196.26M,1994,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/nnbr,
NBL,Noble Energy Inc.,10.25,$4.92B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/nbl,
NBLX,Noble Midstream Partners LP,9.69,$875.71M,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/nblx,
NDLS,Noodles & Company,5.645,$249.2M,2013,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ndls,
NDSN,Nordson Corporation,185.68,$10.71B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ndsn,
NSYS,Nortech Systems Incorporated,4.3,$11.43M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/nsys,
NBN,Northeast Bank,15.83,$132.95M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nbn,
NTIC,Northern Technologies International Corporation,8.62,$78.42M,n/a,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/ntic,
NTRS,Northern Trust Corporation,83.61,$17.4B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ntrs,
NTRSO,Northern Trust Corporation,24.94,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ntrso,
NFBK,"Northfield Bancorp, Inc.",10.77,$530.87M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/nfbk,
NRIM,Northrim BanCorp Inc,23.57,$150.05M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/nrim,
NWBI,"Northwest Bancshares, Inc.",10.12,$1.29B,2009,Finance,Major Banks,https://old.nasdaq.com/symbol/nwbi,
NWPX,Northwest Pipe Company,23.72,$232.17M,1995,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/nwpx,
NLOK,NortonLifeLock Inc.,19.85,$11.69B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nlok,
NCLH,Norwegian Cruise Line Holdings Ltd.,20.5,$5.26B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/nclh,
NWFL,Norwood Financial Corp.,22.61,$143.09M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/nwfl,
NVFY,"Nova Lifestyle, Inc",1.7,$9.41M,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/nvfy,
NVMI,Nova Measuring Instruments Ltd.,47.43,$1.33B,2000,Capital Goods,Electronic Components,https://old.nasdaq.com/symbol/nvmi,
NOVN,"Novan, Inc.",0.414,$31.25M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/novn,
NOVT,Novanta Inc.,100.59,$3.53B,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/novt,
NVAX,"Novavax, Inc.",45.57,$2.67B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/nvax,
NVCR,NovoCure Limited,63.76,$6.4B,2015,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nvcr,
NOVS,Novus Capital Corporation,10.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/novs,
NOVSU,Novus Capital Corporation,10.08,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/novsu,
NOVSW,Novus Capital Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/novsw,
NVUS,"Novus Therapeutics, Inc.",0.515,$8.28M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nvus,
NUAN,"Nuance Communications, Inc.",22.63,$6.37B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/nuan,
NCNA,NuCana plc,5.8,$188.38M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ncna,
NTNX,"Nutanix, Inc.",22.52,$4.49B,2016,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ntnx,
NUVA,"NuVasive, Inc.",58,$2.97B,2004,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nuva,
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,23.1,$914.05M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/qqqx,
NVEE,"NV5 Global, Inc.",47.12,$606.64M,2013,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/nvee,
NVEC,NVE Corporation,59.22,$286.33M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/nvec,
NVDA,NVIDIA Corporation,357.3,$219.74B,1999,Technology,Semiconductors,https://old.nasdaq.com/symbol/nvda,
NXPI,NXP Semiconductors N.V.,106.17,$29.62B,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/nxpi,
NXTD,NXT-ID Inc.,0.4742,$14.38M,n/a,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/nxtd,
NYMX,Nymox Pharmaceutical Corporation,4.1,$294.04M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/nymx,
OIIM,O2Micro International Limited,1.52,$40.77M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/oiim,
OVLY,Oak Valley Bancorp (CA),11.88,$97.61M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ovly,
OCSL,Oaktree Specialty Lending Corporation,4.51,$635.73M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ocsl,
OCSI,Oaktree Strategic Income Corporation,6.25,$184.17M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ocsi,
OMP,Oasis Midstream Partners LP,9.73,$328.98M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/omp,
OAS,Oasis Petroleum Inc.,1.18,$382.37M,2010,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/oas,
OBLN,"Obalon Therapeutics, Inc.",1,$7.73M,2016,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/obln,
OBSV,ObsEva SA,5.42,$241.69M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/obsv,
OBCI,"Ocean Bio-Chem, Inc.",5.73,$54.19M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/obci,
